Bioassay_ID	sentrix_id	dkfz_v12.8_superfamily	dkfz_v12.8_superfamily_maxscore	dkfz_v12.8_family	dkfz_v12.8_family_maxscore	dkfz_v12.8_class	dkfz_v12.8_class_maxscore	dkfz_v12.8_subclass	dkfz_v12.8_subclass_maxscore	NIH_v3.1_superfamily	NIH_v3.1_superfamily_meanscore	NIH_v3.1_class	NIH_v3.1_class_score	NIH_v3.1_subclass	NIH_v3.1_subclass_meanscore
BS_3J2TX6T1	205982900127_R02C01	Rhabdomyosarcoma	0.246565371	Alveolar Rhabdomyosarcoma	0.191228418	Rhabdomyosarcoma, Alveolar Subtype	0.191228418	ARMS	0.191228418	Mesenchymal tumors	0.987	Chordoma	0.205	CHORDM	0.205
BS_HX3MAX1E	205624860029_R08C01	Control Tissues	0.723507415	Control Brain Tissues	0.722871525	Control Tissue, White Matter (Corpus Callosum)	0.713419149	CTRL_CORPCAL	0.713419149	Low-grade glial/glioneuronal tumors	0.955	Ganglioglioma	0.826	GG	0.826
BS_6AQ17V84	205707900078_R04C01	Ependymal Tumours	0.99999555	Posterior Fossa Ependymoma Group A	0.999994028	Posterior Fossa Ependymoma Group A1	0.999983773	EPN_PFA_1C	0.996489135	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.988	EPN PFA 1C	0.987
BS_E685NDKM	205624900008_R06C01	Meningioma	0.99946686	Meningioma	0.99946686	Meningioma, Benign	0.995451097	MNG_BEN_2	0.836620379	Meningioma	0.988	Meningioma, benign	0.987	MNG BEN 2	0.986
BS_ZGR0PYE5	205624900133_R08C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.568729275	Pilocytic Astrocytoma	0.276042121	Supratentorial Midline Pilocytic Astrocytoma	0.207171864	PA_MID	0.207171864	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.664	PA MID	0.502
BS_53R9Z7YY	206390560067_R05C01	Other CNS Embryonal Tumours	0.999962588	CNS BCOR-Altered Tumours	0.999960169	Neuroepithelial Tumour With BCOR Internal Tandem Duplication	0.999960164	CNS_BCOR_ITD	0.999960164	BCOR-altered tumors	0.976	CNS tumor with BCOR internal tandem duplication	0.975	CNS BCOR ITD	0.975
BS_2VFTZSTQ	205624900061_R06C01	Medulloblastoma	0.999894336	Medulloblastoma Non-WNT/Non-SHH Activated	0.999882748	Medulloblastoma Group 4	0.9998734	MB_G34_VIII	0.999791233	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.989	MB G4 VIII	0.989
BS_NC79CTRA	206402350056_R01C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.99606073	Low-Grade Ganglioglial/Neuroepithelial Tumour	0.993808295	Ganglioglioma	0.983112726	GG	0.983112726	Low-grade glial/glioneuronal tumors	0.989	Ganglioglioma	0.986	GG	0.986
BS_Q6T1BM6K	205624860161_R08C01	Germ Cell Tumours	0.993971825	Germ Cell Tumours Of The CNS	0.993971825	(Immature) Teratoma	0.993955412	GCT_TERA	0.993955412	Other tumors	0.977	Teratoma	0.975	GCT TERA	0.975
BS_NBY2QK7M	205566000176_R04C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.806399364	Low-Grade Glioneuronal Tumour	0.437720474	Papillary Glioneuronal Tumour	0.229779449	PGNT	0.229779449	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.932	PA PF TYP	0.593
BS_CBT428EZ	205589740019_R05C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.979966592	Pilocytic Astrocytoma	0.971137649	Infratentorial Pilocytic Astrocytoma	0.824881089	PA_INF	0.824881089	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.988	PA PF TYP	0.987
BS_1DH8SJ7B	205624900113_R08C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999882389	Low-Grade Glioneuronal Tumour	0.999768233	Dysembryoplastic Neuroepithelial Tumour	0.99684973	DNET	0.99684973	Low-grade glial/glioneuronal tumors	0.99	Dysembryoplastic neuroepithelial tumor	0.987	DNT	0.987
